scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-tag,Sci-fi,23,20,3,43,"Chronos Trap in Time, Clockwillows™ Voy Quest, Zigdig"
all-games,raw-tag,Hentai,28,14,14,42,"Multiplier Goblin, Pretty Girl Puzzle · Summer Phantom, Taimanin Squad"
all-games,raw-tag,Roguelite,27,15,12,42,"Xenonauts 2, Zigdig, Don't Mind the Robots"
all-games,raw-tag,Tactical,21,21,0,42,"Explodey Towers, One More 6ix, Power Of The Horde"
all-games,raw-tag,Family Friendly,22,19,3,41,"Biped 2, Black Hole Fishing, OddFauna : Secret of the Terrabeast"
all-games,raw-tag,Roguelike,22,19,3,41,"Drunkslop: Pub crawl COOP, Eternal Hunger, 七神器"
all-games,raw-tag,Physics,27,13,14,40,"Drunkslop: Pub crawl COOP, Quack Hunters, Underwater Duo"
all-games,raw-tag,Online Co-Op,25,15,10,40,"Fortune Avenue, Madnessarum, Tank Havoc"
all-games,raw-tag,Resource Management,21,19,2,40,"OddFauna : Secret of the Terrabeast, Zigdig, Go-Kart Simulator"
all-games,raw-tag,Action Roguelike,20,20,0,40,"Chronos Trap in Time, 七神器, 胶囊军团"
all-games,raw-tag,Survival,26,13,13,39,"Drunkslop: Pub crawl COOP, Quack Hunters, Frontier Ferris For Adventurers"
all-games,raw-tag,Sexual Content,24,15,9,39,"DEAD OR ALIVE 6 Last Round, Magic: The Gathering Arena, The Witch's Disciples"
all-games,raw-tag,Artificial Intelligence,23,16,7,39,"Jokerina: Lust Card, Tomorrow's Love Puzzle, Bloody Rally Show"
all-games,raw-tag,First-Person,21,17,4,38,"Before the Silence Claims: In Absentia, Drunkslop: Pub crawl COOP, Quack Hunters"
all-games,raw-tag,Psychological Horror,22,15,7,37,"One More 6ix, Time To Wake Up, Black Jacket"
all-games,raw-tag,Multiple Endings,20,17,3,37,"Before the Silence Claims: In Absentia, Ovidius (Blood for Love), Brno Transit"
all-games,raw-tag,Horror,24,12,12,36,"Quack Hunters, The Floor Above, Xenonauts 2"
all-games,raw-tag,Management,23,13,10,36,"Power Of The Horde, Dread Admiral, Rooftop Garden"
all-games,raw-tag,Realistic,19,17,2,36,"The Floor Above, World of Warships, Madnessarum"
all-games,raw-tag,Third Person,20,14,6,34,"Nested Lands, Pigeon: A Love Story, BROKEN SOUL : Boss Rush"
all-games,raw-tag,Cartoony,19,15,4,34,"Black Hole Fishing, Pretty Girl Puzzle · Summer Phantom, Xenonauts 2"
all-games,raw-tag,Inventory Management,17,17,0,34,"Eternal Hunger, Global City, Gobocore: Goblin Rescue Squad "
all-games,raw-tag,Sandbox,17,17,0,34,"Nested Lands, 封魔剑魂, Global City"
all-games,raw-tag,Action RPG,13,20,-7,33,"Chronos Trap in Time, Power Of The Horde, Purgatory Survivors"
all-games,raw-tag,Cozy,22,10,12,32,"With Me: Aquatic Time, Rooftop Garden, Little Fires"
all-games,raw-tag,Procedural Generation,20,12,8,32,"Black Hole Fishing, Explodey Towers, Moving Day: Make It Home"
all-games,raw-tag,Minimalist,19,13,6,32,"Harpoon Arena, Terrafactory: Idle Planet, Dodge-imals"
all-games,raw-tag,Building,14,18,-4,32,"OddFauna : Secret of the Terrabeast, Power Of The Horde, 矮人炮弹 Dwarven Cannonball"
all-games,raw-tag,Immersive Sim,14,18,-4,32,"Before the Silence Claims: In Absentia, POJANGMACHA : Korean Street Food Management Simulator, Tavern Legends"
all-games,raw-tag,Drama,15,17,-2,32,"Darker: Chapter 1, Sanechek: Lost Coins, Subliminal"
all-games,raw-tag,Medieval,20,11,9,31,"Explodey Towers, Fear Faith, Power Of The Horde"
all-games,raw-tag,Mystery,19,12,7,31,"Before the Silence Claims: In Absentia, The Floor Above, ROGOLF"
all-games,raw-tag,Gambling,5,25,-20,30,"Grand Gammon, Joker Madness 🃏, Slots & Diapers"
all-games,raw-tag,Clicker,18,12,6,30,"Pretty Girl Puzzle · Summer Phantom, With Me: Aquatic Time, Rooftop Garden"
all-games,raw-tag,Interactive Fiction,18,12,6,30,"Come to my party!, Seven Nights In The Dark, Streetlight Syndicate"
