dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,2D Platformer,2d platformer,Other,8,10,-2,18,-0.2500,0.0000,0.2500,"Eternal Hunger, FZ: Formation Z, BROKEN SOUL : Boss Rush"
tag,raw-tag,360 Video,360 video,Other,1,0,1,1,0.0000,0.0000,0.0000,PatchWorld
tag,raw-tag,3D,3d,Visual & Format,41,49,-8,90,-0.5000,0.0000,0.5000,"Before the Silence Claims: In Absentia, Depths Of Horror: Mushroom Day, Moving Day: Make It Home"
tag,raw-tag,3D Fighter,3d fighter,Other,4,3,1,7,0.0000,0.0000,0.0000,"Streets of Miami VR, 樱梦海, Elementers"
tag,raw-tag,3D Platformer,3d platformer,Other,12,16,-4,28,0.0000,-0.3750,-0.3750,"Sanechek: Lost Coins, 胶囊军团, Cheat Line"
tag,raw-tag,3D Vision,3d vision,Other,3,3,0,6,0.0000,0.1250,0.1250,"Rotminers, 4Wheel Challenge, SILENCY"
tag,raw-tag,4 Player Local,4 player local,Other,3,2,1,5,0.0000,0.1250,0.1250,"Fortune Avenue, Explosive Track - Crazy Action Arcade Racing, Kingdomino"
tag,raw-tag,4X,4x,Other,3,4,-1,7,-0.2500,-0.1250,0.1250,"Power Of The Horde, Three Kingdoms : Alias, Poly Kingdom: Siege"
tag,raw-tag,6DOF,6dof,Other,1,3,-2,4,-0.1250,0.0000,0.1250,"Friendly Steps, Hyperlane Highway, Neolithic Dawn"
tag,raw-tag,Abstract,abstract,Other,8,7,1,15,-0.1250,0.0000,0.1250,"Joker Madness 🃏, Warnet, Pillars of Sorrow"
tag,raw-tag,Action,action,Action & Combat,48,51,-3,99,-0.5000,0.5000,1.0000,"Drunkslop: Pub crawl COOP, Fear Faith, Power Of The Horde"
tag,raw-tag,Action Roguelike,action roguelike,Other,20,20,0,40,-0.1250,-0.2500,-0.1250,"Chronos Trap in Time, 七神器, 胶囊军团"
tag,raw-tag,Action RPG,action rpg,Other,13,20,-7,33,0.1250,-0.7500,-0.8750,"Chronos Trap in Time, Power Of The Horde, Purgatory Survivors"
tag,raw-tag,Action RTS,action rts,Other,2,2,0,4,0.1250,0.0000,-0.1250,"Empyrean Defense, Explosive Track - Crazy Action Arcade Racing, Space Tales"
tag,raw-tag,Action-Adventure,action-adventure,Action & Combat,27,36,-9,63,-0.6250,-0.2500,0.3750,"七神器, Miner Open Chests, Miss Neko 3"
tag,raw-tag,Adventure,adventure,Adventure & Story,50,74,-24,124,-0.6250,-0.7500,-0.1250,"4 Penny Coffins, Bootstrap, Chrono Vanguard: Primal Survival - Dinosaur"
tag,raw-tag,Agriculture,agriculture,Other,3,5,-2,8,-0.1250,0.0000,0.1250,"Chop Chains, Prophet Margin, Souls of the Dead"
tag,raw-tag,Aliens,aliens,Other,3,7,-4,10,0.0000,-0.1250,-0.1250,"Zigdig, Stamperor! The Jester's Decree, The Specimen"
tag,raw-tag,Alternate History,alternate history,Other,4,3,1,7,-0.1250,-0.1250,0.0000,"Before the Silence Claims: In Absentia, Under Protocol, DIESELDOME: Oil & Blood"
tag,raw-tag,Ambient,ambient,Other,2,0,2,2,0.0000,0.0000,0.0000,"Warm Inside, PomoTrain: Rabbit Town"
tag,raw-tag,America,america,Other,1,1,0,2,0.1250,0.0000,-0.1250,"Pablo's Journey, Speakeasy Simulator"
tag,raw-tag,Anime,anime,Other,9,11,-2,20,0.3750,-0.2500,-0.6250,"サンリオキャラクターズ スマッシュフェスタ！, Come to my party!, DODORI"
tag,raw-tag,Arcade,arcade,Action & Combat,32,16,16,48,1.3750,0.6250,-0.7500,"FZ: Formation Z, One More 6ix, Zigdig"
tag,raw-tag,Archery,archery,Other,1,1,0,2,-0.1250,0.0000,0.1250,"END US, IRON SHADOW : Survival Protocol"
tag,raw-tag,Arena Shooter,arena shooter,Other,9,3,6,12,0.3750,0.3750,0.0000,"Dodge-imals, Mech Survivor Elite, Torch of Shadows"
tag,raw-tag,Artificial Intelligence,artificial intelligence,Tech & AI,23,16,7,39,-0.1250,0.0000,0.1250,"Jokerina: Lust Card, Tomorrow's Love Puzzle, Bloody Rally Show"
tag,raw-tag,Asymmetric VR,asymmetric vr,Other,1,0,1,1,0.0000,0.0000,0.0000,Streets of Miami VR
